Gene	Newman-control-R01	Newman-control-R02	Newman-control-R03	Newman-min10-R01	Newman-min10-R02	Newman-min10-R03	Newman-min2-R01	Newman-min2-R02	Newman-min2-R03	Newman-min20-R01	Newman-min20-R02	Newman-min20-R03	Newman-min30-R01	Newman-min30-R02	Newman-min30-R03	Newman-min5-R01	Newman-min5-R02	Newman-min5-R03
CDS_0062	2	2	0	10817	8644	13414	661	178	2065	13810	14944	9282	6821	6330	4698	5790	896	12734
CDS_0063	0	0	0	3742	2685	3800	275	47	876	3857	3856	2745	2314	1652	1500	2155	326	4254
CDS_0064	0	0	0	25	26	39	3	2	13	43	30	41	32	29	20	29	3	43
CDS_0065	0	0	0	2315	1902	3680	78	12	164	10178	4124	6064	4844	4852	1931	772	86	1503
CDS_0066	0	0	0	2816	2361	4348	96	22	252	11327	4966	6732	5588	5310	2356	919	115	1952
CDS_0067	1	2	0	6123	5060	9840	227	54	694	26427	12265	16994	11809	11900	5350	2176	291	4830
CDS_0068	1	1	0	2076	1863	3409	92	17	276	7620	3844	5257	3426	3509	1660	888	121	1904
CDS_0069	0	0	0	1442	1282	2097	65	11	153	3149	2454	2022	1463	1524	894	613	85	1614
CDS_0070	2	2	0	9635	9629	13167	715	126	1853	16964	14897	11160	7769	8532	4993	4887	684	11241
CDS_0071	0	0	0	2235	1955	3417	40	15	108	7762	4494	5074	5784	4883	2749	725	79	1507
CDS_0072	0	0	0	2320	1692	3237	38	17	125	7478	4244	4392	5560	4205	2477	651	85	1417
CDS_0073	2	0	0	3191	2600	4834	79	20	253	9967	6300	6033	7785	6123	3786	1042	140	2251
CDS_0074	0	0	0	4452	3532	7274	142	39	438	11774	9091	7297	6277	6343	3362	1850	255	4045
CDS_0075	2	0	1	4585	4378	6879	225	42	659	10946	8356	6562	5479	5694	3084	2106	281	4641
CDS_0076	0	0	0	637	543	681	33	4	117	1260	809	664	512	648	294	224	33	536
CDS_0077	1	0	0	7784	6340	12517	241	74	626	23095	16239	15746	13309	13060	6863	2714	399	6367
CDS_0078	0	1	0	6358	5837	11099	333	69	721	18773	14331	12386	9786	10582	5551	2724	397	6227
CDS_0079	0	2	0	3686	3279	6032	182	42	478	9469	7609	6183	4787	5046	2710	1539	237	3788
CDS_0080	0	0	0	1228	1086	1827	61	10	144	2795	2163	1733	1340	1396	753	461	71	1184
CDS_0081	0	1	0	4085	3784	6021	240	43	621	9247	7307	6221	4764	4741	2577	1659	263	4261
CDS_0082	0	0	0	2243	2144	2991	179	32	385	4558	3586	3208	2470	2169	1366	1018	169	2351
CDS_0083	1	0	0	1872	2115	2458	144	19	350	3675	2819	2691	1854	1785	1015	875	126	2127
CDS_0084	0	0	0	2030	1869	2622	192	30	517	5663	2919	5347	5568	3584	1625	1512	217	1870
CDS_0085	0	0	0	2699	3418	3480	245	36	590	4189	3373	3637	2176	1884	1665	1531	178	3184
CDS_0086	0	0	0	11103	9231	17264	490	133	1350	27723	19398	20125	14428	13903	8347	4621	569	10505
CDS_0087	1	0	0	3750	3077	5147	212	39	491	7735	5496	6002	3845	3684	2493	1456	187	3438
CDS_0088	1	1	0	2219	1968	3003	92	31	343	6363	3827	6198	19064	6767	10624	1126	191	2297
CDS_0089	0	0	0	504	484	683	25	9	91	1025	730	1121	1811	811	886	263	52	609
CDS_0090	0	0	0	1195	1379	1580	83	24	300	2857	1726	2840	4820	2369	2176	695	121	1568
CDS_0091	0	0	0	20	27	53	0	0	4	500	108	476	2427	718	1182	10	3	17
CDS_0092	2	0	1	233	232	435	10	2	13	6862	1115	6145	34984	9915	16264	76	24	142
CDS_0093	0	0	1	193	192	343	3	3	17	4003	761	3709	19214	5343	8399	38	15	71
CDS_0094	0	0	0	1307	1161	2596	60	6	107	10229	3698	5944	5039	5724	1601	371	43	608
CDS_0095	1	1	1	1799	1017	3299	62	19	95	12507	5530	9414	12340	11886	7937	456	82	734
CDS_0096	0	0	1	861	640	1545	25	6	42	10607	3741	6509	19414	12981	14723	228	44	363
CDS_0097	3	1	1	2442	2968	5578	113	84	176	29588	10034	33754	63578	31984	49663	584	233	1635
CDS_0098	1	0	2	1817	1256	3252	172	83	154	13683	4510	17399	28823	14301	21754	558	176	830
CDS_0099	0	0	0	320	563	386	70	3	116	767	363	500	316	438	236	210	25	365
CDS_0100	0	0	0	976	1190	753	197	23	493	830	722	840	542	261	398	788	104	1252
CDS_0101	0	0	0	1	0	0	1	0	1	4	0	1	14	2	6	0	0	1
CDS_0102	0	0	0	5	16	14	0	0	0	846	33	667	3988	1052	1413	3	0	0
CDS_0103	0	0	1	15	17	11	1	0	1	1389	59	1051	6139	1651	1999	6	0	3
CDS_0104	0	0	0	4	14	5	0	0	2	924	38	683	3838	1128	1298	3	1	1
CDS_0105	1	0	0	42	26	117	2	0	4	978	175	615	1086	851	390	8	4	11
CDS_0106	0	0	0	39	38	132	1	1	1	946	203	653	1068	792	364	7	2	10
CDS_0107	0	0	0	116	73	385	5	2	9	3337	695	2109	4799	2780	1541	30	7	56
CDS_0108	1	0	0	129	113	545	4	0	20	4747	991	2707	6654	4016	2051	29	11	72
CDS_0109	0	0	0	151	134	526	6	2	18	5340	1056	3301	7975	4835	2289	38	4	102
CDS_0110	0	0	2	873	691	2422	30	6	116	29165	4921	18138	47918	29259	13780	275	60	580
CDS_0111	0	0	0	3223	2355	7426	122	21	411	30708	9556	20835	33565	23658	10543	1004	197	2126
CDS_0112	0	0	0	289	200	754	14	4	34	2729	1023	1664	2450	2167	800	69	15	130
CDS_0113	1	0	0	1654	985	4240	43	9	174	17939	5936	11201	17775	14183	5382	414	83	943
CDS_0114	1	0	1	4118	2337	10536	78	28	222	47326	16305	30270	50707	40073	16880	1019	212	2085
CDS_0115	0	0	0	44	54	108	4	0	13	1133	193	681	1947	1149	634	18	4	26
CDS_0116	0	0	0	193	147	485	19	0	30	3997	783	2364	5759	3503	1715	61	19	109
CDS_0117	1	0	2	924	651	2395	39	4	103	23384	4587	14836	37907	23065	11907	296	84	613
CDS_0118	2	0	1	545	330	2064	10	3	35	33407	4721	20412	64238	29255	19201	73	39	120
CDS_0119	1	0	2	866	604	3149	11	4	41	58988	8141	33976	120697	54794	36625	122	75	205
CDS_0120	3	0	2	1793	1551	4152	37	19	60	148938	14711	100845	444730	155278	141413	288	79	351
CDS_0121	1	0	0	84	67	154	3	0	33	2114	326	1227	4957	2198	1406	40	8	46
CDS_0122	0	0	0	437	304	919	27	5	85	9890	1780	5753	22704	10565	6889	137	55	315
CDS_0123	0	0	0	405	322	716	23	4	68	8284	1491	4579	18932	8670	5426	149	35	276
CDS_0124	0	0	0	352	257	529	14	1	39	6109	1172	3626	14181	6363	4193	108	22	255
CDS_0125	0	0	1	507	466	672	18	4	52	16683	1856	11922	53443	19226	17431	173	29	345
CDS_0126	0	0	1	174	143	211	3	1	14	5472	627	3582	19183	6521	6539	60	11	95
CDS_0127	2	1	2	1863	1352	2266	25	17	91	57687	6596	39709	253066	74279	93418	631	75	953
CDS_0128	1	0	2	540	366	562	6	4	13	15401	1633	10246	69567	19515	25894	172	13	220
CDS_0129	0	0	0	116	195	123	45	2	106	198	124	154	117	85	99	119	22	207
CDS_0130	1	0	0	1733	2585	1818	404	26	1052	1859	1531	1758	1098	802	870	1474	220	2629
CDS_0131	2	0	0	799	1206	827	174	9	358	962	768	833	525	418	361	519	85	1115
CDS_0132	1	0	0	5359	6729	5785	478	51	1141	8097	6218	6212	3451	3268	2472	2789	297	5282
CDS_0133	0	0	0	385	470	920	16	5	54	11987	1878	7154	19879	11596	5698	125	43	220
CDS_0134	1	0	0	582	448	1429	16	3	47	19295	2804	11736	34865	18724	9952	168	59	365
CDS_0135	0	0	1	1759	1373	3111	112	26	431	34038	5398	18068	70668	32890	19017	959	234	1689
CDS_0136	0	0	1	4944	4358	5248	453	79	1591	11868	6870	6709	15319	9543	5082	3425	639	6128
CDS_0137	0	0	0	2273	2037	2781	112	26	330	5953	3842	3225	6733	4254	2129	1118	158	2317
CDS_0138	2	0	0	6662	4925	9211	155	62	450	20452	13137	10079	22766	13804	7549	2778	311	5588
CDS_0139	2	0	0	1302	1113	1298	140	24	474	4117	1620	2747	6184	3609	2332	981	168	1833
CDS_0140	0	0	0	1007	955	1061	88	15	303	2753	1372	1769	4085	2409	1552	670	108	1284
CDS_0141	0	1	0	1888	1926	1988	169	27	459	4527	2435	2751	6772	3912	2514	1275	187	2377
CDS_0142	1	0	0	3030	3033	3440	196	36	526	7200	4273	4428	10335	5940	3746	1854	231	3469
CDS_0143	1	1	1	12734	12563	14862	582	111	1720	27570	19015	16277	32024	20761	12824	6179	764	11338
CDS_0144	0	0	1	4935	3520	7291	188	46	627	14133	8847	9495	16665	10477	7100	2253	326	4445
CDS_0145	3	3	1	31878	19014	51158	483	259	1608	110483	70052	74506	137743	89130	57180	11464	1540	21959
